first_name,last_name,title,company,company_domain,geography,linkedin_url,email,source_url,hiring_signal,personalization_basis,fit_notes
Rob,Williams,CTO and Co-Founder,Read AI,read.ai,US,https://www.linkedin.com/in/robert-williams-3569701/,,https://jobs.ashbyhq.com/read-ai/e4a5c6e0-c677-4a96-a339-5504b8c63fbd,"Hiring Senior Software Engineer, Backend; AI meeting-productivity platform","Read AI job post says the backend role touches FastAPI, SQLAlchemy, AWS, integrations, auth, and enterprise security; it also notes 1M+ new customers/month.","Series A/B AI startup with senior engineering hiring signal."
Brian,Ray,Co-Founder and CTO,Rillet,rillet.com,US,https://www.linkedin.com/in/brianraynyc/,,https://jobs.ashbyhq.com/rillet/f5d21c85-4fd2-461b-b5aa-3ece7d9f6bac,"Hiring Senior Software Engineer","Rillet describes an AI-native ERP for zero-day close, native integrations like Stripe/Ramp/Salesforce, and a growing engineering team working closely with the CTO.","Series B AI/SaaS company with senior engineering hiring signal."
Andrew,Cote,Co-Founder and CTO,Upbound,upbound.io,US,https://www.linkedin.com/in/acote/,,https://job-boards.greenhouse.io/upbound/jobs/5695707004,"Hiring Senior Software Engineer [Remote]","Upbound's role is for building Upbound Spaces and Crossplane-based intelligent control planes for the Agentic AI era.","Series B infrastructure SaaS with senior engineering hiring signal."
Alan,Cowen,Founder and CEO,Hume AI,hume.ai,US,https://www.linkedin.com/in/alan-cowen-20617155/,,https://job-boards.greenhouse.io/humeai/jobs/5064248008,"Hiring Senior Platform Engineer","Hume's job post focuses on backend services and cloud infrastructure for empathic AI assistants and mentions sub-300ms conversational speed.","Series B AI company; CEO used because public CTO/VP Eng was not clearly verifiable."
Rohan,Sathe,Co-Founder and CTO,Liberate,liberateinc.com,US,https://www.linkedin.com/in/rohansathe/,,https://job-boards.greenhouse.io/liberate/jobs/5007012008,"Hiring Senior Software Engineer","Liberate says it raised a $50M Series B in Oct 2025 and is expanding from voice into workflow automation across insurance sales, servicing, and claims.","Series B AI agents startup with senior engineering hiring signal."
Rishabh,Kaul,Co-Founder and CTO,Bland AI,bland.ai,US,https://www.linkedin.com/in/rishabhkaul/,,https://www.bland.com/careers,"Hiring engineering roles","Bland's public careers page shows engineering hiring for AI phone agents and voice infrastructure.","AI startup in US with public engineering hiring signal."
Parag,Agrawal,Founder,Parallel Web Systems,parallel.ai,US,https://www.linkedin.com/in/paraga/,,https://jobs.ashbyhq.com/parallel/e15b451f-8c56-4747-a1b6-1f2c0fa47ef3,"Hiring Member of Technical Staff, AI","Parallel is building an AI-native web platform; the public role is foundational and focused on model architecture and agent interaction with the open web.","AI startup with current senior technical hiring signal."
Jessica,McKellar,Founder and CTO,Pilot,pilot.com,US,https://www.linkedin.com/in/jessicamckellar/,,https://pilot.com/careers,"Hiring engineering roles","Pilot's careers page lists engineering hiring for finance automation software used by startups.","SaaS company with engineering hiring; verify headcount/funding before final send."
Thomas,Bertani,Founder and CEO,Lago,getlago.com,EU,https://www.linkedin.com/in/thomasbertani/,,https://jobs.ashbyhq.com/lago,"Hiring Product Engineer and Infrastructure Engineer","Lago's public roles mention open-source billing for usage-based pricing and customers like Mistral AI and Synthesia.","Series A SaaS/open-source billing company hiring engineers across Europe/US."
Harry,Glaser,Co-Founder and CEO,Periscope Data / Anysphere,anysphere.co,US,https://www.linkedin.com/in/hglaser/,,https://www.cursor.com/careers,"Hiring engineering roles","Anysphere/Cursor careers show active engineering hiring for AI developer tooling.","AI/SaaS company with strong hiring signal; verify exact target title before final send."

