name,company,linkedin_url,note
Rob Williams,Read AI,https://www.linkedin.com/in/robert-williams-3569701/,"Hi Rob, saw Read AI's hiring senior software engineer, backend; ai meeting-productivity platform. Read AI job post says the backend role touches FastAPI, SQLAlchemy, AWS, integrations, auth, and enterprise security; it also notes 1M+ new customers/month. Would enjoy connecting."
Brian Ray,Rillet,https://www.linkedin.com/in/brianraynyc/,"Hi Brian, saw Rillet's hiring senior software engineer. Rillet describes an AI-native ERP for zero-day close, native integrations like Stripe/Ramp/Salesforce, and a growing engineering team working closely with the CTO. Would enjoy connecting."
Andrew Cote,Upbound,https://www.linkedin.com/in/acote/,"Hi Andrew, saw Upbound's hiring senior software engineer [remote]. Upbound's role is for building Upbound Spaces and Crossplane-based intelligent control planes for the Agentic AI era. Would enjoy connecting."
Alan Cowen,Hume AI,https://www.linkedin.com/in/alan-cowen-20617155/,"Hi Alan, saw Hume AI's hiring senior platform engineer. Hume's job post focuses on backend services and cloud infrastructure for empathic AI assistants and mentions sub-300ms conversational speed. Would enjoy connecting."
Rohan Sathe,Liberate,https://www.linkedin.com/in/rohansathe/,"Hi Rohan, saw Liberate's hiring senior software engineer. Liberate says it raised a $50M Series B in Oct 2025 and is expanding from voice into workflow automation across insurance sales, servicing, and claims. Would enjoy connecting."
Rishabh Kaul,Bland AI,https://www.linkedin.com/in/rishabhkaul/,"Hi Rishabh, saw Bland AI's hiring engineering roles. Bland's public careers page shows engineering hiring for AI phone agents and voice infrastructure. Would enjoy connecting."
Parag Agrawal,Parallel Web Systems,https://www.linkedin.com/in/paraga/,"Hi Parag, saw Parallel Web Systems's hiring member of technical staff, ai. Parallel is building an AI-native web platform; the public role is foundational and focused on model architecture and agent interaction with the open web. Would enjoy connecting."
Jessica McKellar,Pilot,https://www.linkedin.com/in/jessicamckellar/,"Hi Jessica, saw Pilot's hiring engineering roles. Pilot's careers page lists engineering hiring for finance automation software used by startups. Would enjoy connecting."
Thomas Bertani,Lago,https://www.linkedin.com/in/thomasbertani/,"Hi Thomas, saw Lago's hiring product engineer and infrastructure engineer. Lago's public roles mention open-source billing for usage-based pricing and customers like Mistral AI and Synthesia. Would enjoy connecting."
Harry Glaser,Periscope Data / Anysphere,https://www.linkedin.com/in/hglaser/,"Hi Harry, saw Periscope Data / Anysphere's hiring engineering roles. Anysphere/Cursor careers show active engineering hiring for AI developer tooling. Would enjoy connecting."
